TOKEN_NO	TOKENS
86	ತನ್ನ
87	ಮನ್ನಿಸಿಯಾನೆ
88	ಕೊಟ್ಟ
89	ಕಿತುಕೊಂಡ
90	ಏನಿವನಾಟ
91	ಇನ್ಯಾರ
92	ನೆನೆಯೋದು
93	ಯಾಕಾಗಿ
94	ಈ
95	ಗೂಡಿಗೆ
96	ಬೆಂಕಿ
97	ಹಾಕ್್ಬೇಕು
98	ಏನು
99	ಸುಖ
100	ಕಾಣ್್ಬೇಕು
101	ಅವನು
102	ಬೋರೆ
103	ದಿಕ್ಕಿಗೆ
104	ಮಕ
105	ಮಾಡಿದ
106	ನಿನ್ನೆಯದು
107	ನೆನಪಾಯಿತು
108	ಜಡೆ
109	ಮುನಿಗುಡ್ಡ
110	ಅಂದರೆ
111	ಊರೊಳಗೆ
112	ಇವತಿಗೂ
113	ಭಯ
114	ಅದೆ
115	ಭಕುತಿ
116	ಗೌರವ
117	ಆದರೆ
118	ತಾನು
119	ಇಳ್ಳೊತ್ತು
120	ಅದರಂಡಿ
121	ಕಂಡದ್ದೇನು
122	ಅದನು
123	ಊಹಿಸೋದಿಕೆ
124	ಆಗುತ್ತಾ
125	ತರಗೆಲೆಗೆ
126	ಹಂಗರಗಡ್ಡಿಗೆ
127	ಸೌದೆಗೆ
128	ಮಣ್ಣಿಗೆ
129	ಮೈನೀರು
130	ಹುಯ್ಯೋದಿಕೆ
131	ಮಾತಾಡೋಕೆ
132	ಕೂರೋದಕೆ
133	ಮಲಗೋದಕೆ
134	ಹಾಡೋದಕೆ
135	ಒಂದೇ
136	ಎಂಡೇ
137	ಬೋರೆತಾಯಿಯೇ
138	ದಿಕ್ಕಾಗಿದ್ದಳು
139	ಇವಳ
140	ಮೇಲೆ
141	ತನಗಿರೋ
142	ಸಂಬಂಧವ
143	ಅಳೆಯೋದಿಕಾಗುತಾ
144	ಇಂಥ
145	ಅವ್ವನ
146	ನರಮನುಷರು
147	ಬುಡುತಿಲ
148	ಆಸರೆ
149	ಪಿರೀತಿ
150	ತಾಳುಮೆ
151	ಶಕುತಿಗಳ
152	ಕಿತುತಿನೊ
153	ಕಿರಾತಕರು
154	ಇವರೆಲ
155	ಒಡಲೊಳಗೆ
156	ಭೀತಿಯ
157	ನೆಳ್ಳ
158	ಮೂಡಿಸಿ
159	ನಡೆಸೋ
160	ಕಾರುಭಾರುಗಳ
161	ನೆನೆದರೆ
162	ಜುಂ
163	ಅವನಿಗೆ
164	ಜಡೆಮುನಿಗುಡ್ಡದ
165	ಮೇಲಿದ್ದ
166	ಭೀತಿ
167	ಭ್ರಮೆ
168	ಕರಗಿಹೋಯಿತು
169	ಅಪಾರ
170	ತಾಳುಮೆಗೆ
171	ತಲೆಯೊಡ್ಡಿ
172	ಹೆಜ್ಜೆ
173	ಹಾಕತೊಡಗಿದ
174	ಮಳ್ಳಿಯಂಗೆ
175	ಮಲಗಿರೊ
176	ನಿನಗೆ
177	ತಿಳೀದ್ಯಾವುದು
178	ನೀನೇ
179	ದಿಕ್ಕು
180	ತೋರಬೇಕು
181	ಅಂತ
182	ಮಗದೊಮ್ಮೆ
183	ಕೇಳಿಕೊಂಡು
184	ಅಳ್ಳೆಪಠಯನಗುಡಿ
185	ಮುಂದಾರದಿಂದ
186	ನಡೆದ
187	ಬದುಕಿದಾನೋ
188	ಸತ್ತನೋ
189	ಒಂದೂ
190	ತಿಳಿಯದು
191	ಏನೂ
192	ಗೊತ್ತಿಲದ
193	ಬಗ್ಗೆ
194	ಸತ್ತೋದ
195	ಊಹಿಸೋದಾಗಲೀ
196	ಎಲೊ
197	ಬದುಕುತಾ
198	ಅವನೆ
199	ನಚ್ಚೋದಾಗಲೀ
200	ಏಟು
201	ಹಿಂಸೆ
202	ಕುದಿ
203	ಬೋರೆಯ
204	ಬಡಗಲ
205	ತಿರಿಕೊಂಡ
206	ದೊಡ್ಡಾಲದಮರ
207	ಸಿಕ್ಕಿತು
208	ಅದರ
209	ಬಿಳಿಲು
210	ನೆಲಕೆ
211	ಕಚಕೊಂಡು
212	ಬುಡವೇ
213	ಕಾಣತಿರನಿಲ
214	ನಡು
215	ಮಧ್ಯೆ
216	ಒಂದು
217	ದೊಡ್ಡ
218	ಗಂಡುಹುತ್ತ
219	ಅದು
220	ಎಂಡಾಳಿಗೂ
221	ಮಿಗಿಲಾದ
222	ಎತ್ತರಕೆ
223	ಬೆಳೆದು
224	ಮೂರು
225	ಜನಕೆ
226	ತಬ್ಬೋದಿಕೆ
227	ಆಗದೋಟು
228	ದಪ್ಪಾಗದೆ
229	ಊರಿಗೆ
230	ಅಮ್ಮ
231	ಕಾಣಿಸಿಕೊಂಡಾಗ
232	ಅವಳ
233	ಕಳಿಸೋದಿಕೆ
234	ಇಲೀಗಂಟಲೂ
235	ಜನ
236	ಬರುತಿದರು
237	ಅಮ್ಮನ
238	ಅಟ್ಟಿಕೊಂಡು
239	ಜೊತೆಯಲೇ
240	ತರುತಿದ
241	ಮೊರುಕುಕ್ಕೆ
242	ಬೂದಿ
243	ಸೊಟಗ
244	ಮೋಟುಹಿಡಗಲು
245	ಎಲವನೂ
246	ನೀಲಿಮಲ್ಲ
247	ಮಂತುರಿಸಿ
248	ಛೂ
249	ಅನುತಿದಂಗೇ
250	ದಡಬಡನೆ
251	ಎಸೆಯುತಿದರು
252	ದೇವರು
253	ಹೇಳಿದಂಗೆ
254	ಕೇಳಿತಿದ
255	ಮೂಡಲ
256	ಕಡೆಗೆ
257	ಹೋಗಿಬುಡುತಿದಳು
258	ಹಂಗಾಗಿ
259	ಅನ್ವಾಲದ್ದು
260	ಯಾರೂ
261	ಇತ್ತಲಾಗಿ
262	ತಲೆ
263	ಹಾಕುತಿರನಿಲ
264	ಬಂದರೆ
265	ಆಟು
266	ದೂರ
267	ಬಿದ್ದು
268	ಹಾಸಿ
269	ಹೋಗುತಿದರು
270	ಕಸ್ತೂರಿ
271	ಒಂದೊಂದು
272	ಬಿಳಲಿನ
273	ಸಂದಿನಿಂದಲೂ
274	ಮಗನಿಗಾಗಿ
275	ನುಸುಳಿ
276	ಇಣುಕಿ
277	ನೋಡಿದ
278	ಮರವ
279	ಸಲ
280	ಸುತ್ತು
281	ಹಾಕಿದ
282	ಕಾಣಸನಿಲ
283	ಹರಿದಾರಿ
284	ಪಾಸಲು
285	ಒತ್ತಟ್ಟಿಗೆ
286	ಬೆಳೆದಿದ
287	ಕುರುಚಲು
288	ಗಿಡಗಳ
289	ಸಂದಿಗೊಂದಿಯನೆಲ
290	ಬಗೆಬಗೆದು
291	ಮುತುಗದ
292	ಮರ
293	ಅಲ್ಲಿ
294	ಕುಸಿದ
295	ಈಗ್ಗೆ
296	ಹದಿನೈದು
297	ವರುಷಗಳಿಗೂ
298	ಹಿಂದೆ
299	ತಿಮ್ಮುನ
300	ಜೊತೆಬಂದು
301	ಸೇರುತಿದ
302	ತಾಣ
303	ಇದು
304	ಜತೆ
305	ಪರ
306	ಪಂಚಾನೇ
307	ಮರೆತು
308	ಸರಸ
309	ಆಡಿದ್ದು
310	ಇಲ್ಲಿ
311	ಒಬರಿಗೊಬರು
312	ನಲಿದಾಡಿದ್ದು
313	ಅವಳು
314	ಮೊದಲಸಲ
315	ಮಗುಬೇಕು
316	ಬಾಯಿಬುಟು
317	ಕೇಳಿದ್ದು
318	ಎದೆಯೊಳಗೆ
319	ಹಿಂಡಿದ
320	ಯಾತನೆ
321	ಕಡೆ
322	ಸಮಾಧಾನ
323	ಸಿಗೋದಿಲ
324	ಬದಲಾಗಿ
325	ನೆನಪುಗಳು
326	ಜೇನುಹುಳುಗಳಂಗೆ
327	ಮುತ್ತುತವೆ
328	ಕಚ್ಚುತವೆ
329	ಬೆಂಕಿಯುಂಡೆಗಳಾಗಿ
330	ಉರುಚುತವೆ
331	ಎದ್ದು
332	ಸರಸರನೆ
333	ತೆಂಕದಿಕ್ಕಿಗೆ
334	ತಿರುಗಿದ
335	ಮರದಂಡಿಗೂ
336	ಹೋಗಿ
337	ನೋಡಿ
338	ಸುತ್ತಿ
339	ಅವನಿಗೇನೂ
340	ಸುಳಿವು
341	ಸಿಗನಿಲ
342	ಹಿಂಗೇ
343	ಸುತ್ತಿದರೆ
344	ತನಗೆ
345	ಹುಚ್ಚು
346	ಹಿಡಿಯುತ್ತದೆ
347	ಯಾವುದೋ
348	ಗಾಡಿದಾರಿ
349	ಅನುಸರಿಸುತಾ
350	ಮೋಟಾರು
351	ವಾಹನ
352	ಓಡಾಡಿರೋ
353	ಚಕುರದ
354	ಗುರುತು
355	ಅಚ್ಚಳಿಯದೆ
356	ನಿಂತಿತ್ತು
357	ಅಚ್ಚರಿಯಾಯಿತು
358	ಅನುಭವದಲಿ
359	ಬೋರೆಗೆ
360	ಯಾವ
361	ವಾಹನವೂ
362	ಬಂದಿದ್ದು
363	ಕಾಣ
364	ಎತ್ತಿನ
365	ಗಾಡಿಗಳ
366	ಬುಟರೆ
367	ವಾಹನಗಳು
368	ಓಡಾಡುವಂಥ
369	ಹಾದಿಯೇ
370	ಇರನಿಲ
371	ಏನಾದರು
372	ಇದರೊಂದಿಗೆ
373	ಬುಟನೇ
374	ಇಲ್ಲಾ
375	ಸಿಕ್ಕಿಹಾಕೊಂಡು
376	ನಚ್ಚದಾದ
377	ಸೀತೆಯ
378	ಕಾಣದ
379	ರಾಮ
380	ಗಿಡನೂ
381	ಕೇಳುತಾ
382	ಮರನೂ
383	ಯಾಚಿಸುತಾ
384	ಸಿಕ್ಕ
385	ತೊರೆ
386	ಕೆರೆಕುಂಟೆಗಳನೆಲ
387	ವಿಚಾರಿಸುತಾ
388	ನಡೆದಂಗೆ
389	ನಡೆನಡೆಯುತಾ
390	ಇಳಿಜಾರಿನಲಿ
391	ಬಿದಿದ್ದ
392	ಪಿಂಡಿ
393	ಕಣ್ಣಿಗೆ
394	ಬಿತ್ತು
395	ಕೋಳಿಮರಿಗೆ
396	ಬೀಳೊ
397	ಹದ್ದಿನಂಗೆ
398	ಅತ್ತ
399	ಜಿಗಿದ
400	ದಿಟ
401	ತರಗೆಲೆ
402	ತುಂಬಿದ್ದ
403	ಕಲ್ಲಿ
404	ತಬ್ಬಲಿಯಂಗೆ
405	ಬಿದ್ದಿತ್ತು
406	ಉಸಿರಿಗೆ
407	ಉರುಳುರುಳಿಸಿ
408	ಅನುಮಾನ
409	ಇಲ್ಲ
410	ತಮ್ಮುದೇ
411	ಥಟ್ಟನೆ
412	ಬಲ
413	ಬಂದಂಗಾಯಿತು
414	ತಿಮ್ಮಾಜೀ
415	ಮೊಗಾ
416	ಲೋಮೊಗಾ
417	ಕಿರುಚಿದ
418	ಇವನು
419	ರಭಸಕೆ
420	ಬಿಸಿಲಿಗೆ
421	ನರಳುತಾ
422	ಎಲೆಗಳ
423	ಕುಂತಿದ್ದ
424	ಹಕ್ಕಿ
425	ಪಕುಷಿಗಳೆಲ
426	ರಪರಪನೆ
427	ರಕ್ಕೆ
428	ಬಡಿಯುತಾ
429	ಹಾರಿದವು
430	ಅದುರಾಡಿತು
431	ಉತ್ತರ
432	ಇಲ
433	ಜಾರಿ
434	ಹೋಗಿಬುಟನೇ
435	ಇಳಿಜಾರನಲಿ
436	ಸಮಕೆ
437	ಜಾರಿದ
438	ಸಮತಳ
439	ಸಿಗೋವರೆಗೂ
440	ಅಲ್ಲೆಲೂ
441	ಅವನ
442	ಸುಳಿವಿಲ
443	ಕತೆತ್ತಿ
444	ಮೇಲು
445	ಭಾಗದಲಿ
446	ಕರಿಚಿಕ್ಕಿಯಂಗೆ
447	ಕಾಣುತಿತು
448	ತಿಮ್ಮಾಜಿ
449	ಕಿರುಚುತಲೇ
450	ಏರಿ
451	ಪುನೈಸಿ
452	ಗಾಡಿದಾರಿಗೆ
453	ಅವನುಟ್ಟ
454	ಅರಿವೆ
455	ಕಂಡಾವೆಯೆ
456	ಮೋಟಾರುವಾಹನ
457	ನಿಂತು
458	ಅಲೆಲ
459	ತಿರುಗಾಡಿರೊ
460	ಗುರುತುಗಳು
461	ಮೇಲ್
462	ಊರಿದ್ದೊ
463	ಕಂಡುಕೊಂಡ
464	ಅವು
465	ಯಾವೂ
466	ಮಗನವಲ
467	ಸತ್ತಿಲ
468	ಅನೋ
469	ಹೆಂಗೋ
470	ಹೊಳೆಯುತಿತು
471	ಅವನೆಲ್ಲಿ
472	ಸುಮಾರು
473	ಅಲೇ
474	ದುಕ್ಕ
475	ಇಂಗನಿಲ
476	ಸಂಕಟ
477	ಕಮ್ಮಿಯಾಗನಿಲ
478	ಬೇರೆ
479	ದಿವಸ
480	ಆಗಿದ್ದರೆ
481	ಬುಡೋನಲ
482	ಕಣ್ಣೂ
483	ಹಾಯಿಸದೆ
484	ಅದೇ
485	ಗಾಡಿ
486	ದಾರಿಯಲಿ
487	ಇಳಿದು
488	ಬಂದಾಗ
489	ಮಸಾಣದಲಿ
490	ಹೂತು
491	ಬರಿದಾದ
492	ಹಟ್ಟಿಗೆ
493	ಬಂದಾಗಿನ
494	ಮನಸಾಗಿತ್ತು
495	ನೇರಕೆ
496	ನಡೆದು
497	ಬದ
498	ಹತ್ತಿ
499	ಹೊಲಕ್ಕಿಳಿದು
500	ತಿಟ್ಟ
501	ಹಡ್ಡಲಿಗೆ
502	ಅಮಟೆಕಟ್ಟೆ
503	ಏರಿಯ
504	ಕಟ್ಟೆಏರಿ
505	ಹಾವಿನಂಗೆ
506	ಮಲಗಿತ್ತು
507	ಏರಿಯುದ್ದಕೂ
508	ಗೊಬ್ಬಳಿಮರ
509	ಉಣ್ಣಿಮೆಳೆ
510	ಕಾರೆಗುತ್ತಿ
511	ಉಗಣಿಹಂಬು
512	ಹುಣಸೆಮರಗಳು
513	ಬೆಸಗೊಂಡು
514	ಬೆಳೆದಿದ್ದೊ
515	ಗೊಬ್ಬಳಿ
516	ಮರದ
517	ಬುಡಕೊರಗಿ
518	ಕುಂತುಕೊಂಡ
519	ಕಟ್ಟೆ
520	ತುಂಬ
521	ನೀರು
522	ತುಂಬಿ
523	ಮದವಾಗಿತ್ತು
524	ಇದರ
525	ಇನೊಂದು
526	ನಿಂಗನಕಟ್ಟೆ
527	ಅದರಿಂದಾಗಿ
528	ಉಳಕೊಂಡದೆ
529	ಮೇಗಲಿನಿಂದ
530	ಬಂದಂಗೇ
531	ಬರುವಂಗಿದರೆ
532	ಕೊಚಿಕೊಂಡು
533	ಹೋಗುತಿತು
534	ಕಂಡಂಗೆ
535	ಬರೀ
536	ಮಣ್ಣು
537	ತುಂಬಿಕೊಂಡು
538	ಅಮಟೆಗಿಡ
539	ಬೆಳೆದಿರುತಿತು
540	ಅಮಟೆಕಾಯಿ
541	ತರೋದಿಕೆ
542	ಆಗ
543	ತಪ್ಪದೆ
544	ಬರುತಿದ
545	ಪಜ್ಜಿ
546	ಮಾಡಿಕೊಂಡು
547	ಬಿಸಿಬಿಸಿ
548	ರಾಗಿಮುದ್ದೆ
549	ಉಣ್ಣುತಾ
550	ಇದ್ದರೆ
551	ಅದೇಟು
552	ರುಚಿ
553	ಯಟ್ಟೆ
554	ಹೊಡೆದಾಗ
555	ಕಟ್ಟೆಕೆಳಗಿನ
556	ಜಮೀನಿನ
557	ಮೋಟಪ್ಪ
558	ಸದ್ರಪ್ಪ
559	ಸುಂದ್ರಯ
560	ಸಾನುಭೋಗರು
561	ಸತ್ಗಪ್ಪರ
562	ಅಪ್ಪದಿರು
563	ಒಟ್ಟಿಗೆ
564	ಸೇರಿಕೊಂಡು
565	ಹೂಳು
566	ತೆಗೆಸಿದ
567	ಭರತಿಯಾಗಿ
568	ತುಂಬಿರುತದೆ
569	ಹಿಂದಾರದ
570	ಗದ್ದೆಗಳು
571	ವರುಷಕೆ
572	ಎಂಡು
573	ಬೆಳೆ
574	ಕೊಡುತುವೆ
575	ಕಟ್ಟೆಯ
576	ತುಂಬಿದ
577	ಒಡಲತ್ತ
578	ನೋಡುತಿದ
579	ತಾನೂ
580	ಹೂಳೆತ್ತಿರೋನೇ
581	ಕುಡಿದೋನೇ
582	ನಾಕು
583	ಮೂಲೆಯಿಂದಲೂ
584	ತುಂಬಿರೋ
585	ಗಂಗಮ್ಮತಾಯ
586	ನೋಡುತಾ
587	ನಿಂಬೆ
588	ಹಣ್ಣಿನಂಗೆ
589	ತುಂಬವಳೆ
590	ಗಂಗಮ್ಮ
591	ಎಂಭತ್ತು
592	ಮೂಲೆ
593	ಚೌಕವ
594	ಚೌಕದ
595	ಮ್ಯಾಲೆ
596	ಶಂಭುಲಿಂಗಯ್ಯನ
597	ಶಿವಪೂಜೆ
598	ಪದ
599	ಹಾಡೋವಾಗ
600	ಮೇಲಿಂದ
601	ಬೀಸಿ
602	ಗಾಳಿಗೆ
603	ಆಳಾಳುದ್ದ
604	ಎದ್ದ
605	ತೆರೆಗಳ
606	ಹಾವಿನ
607	ನರುತನ
608	ವಾಲಾಡಿರೋನೇ
609	ಈಗ
610	ಗಂಗಮ್ಮತಾಯಿ
611	ನಲಿಯುತಾ
612	ಹಾಡುತಾ
613	ನಿಧಾನಕೆ
614	ಪಿರುಗುಟ್ಟೋ
615	ಸದ್ದುಮಾಡದೆ
616	ಮಲಗದೆ
617	ಅಲೊಂದು
618	ಗುಳುಮುಳುಕಕ್ಕಿ
619	ಮೀನು
620	ಕಂಡೊಡನೆಯೇ
621	ಗುಳುಂನೆ
622	ಮುಳುಗುತದೆ
623	ಮತ್ತೆಲೋ
624	ಹಿಡಿದ
625	ಮೀನ
626	ನುಂಗಿ
627	ಕೊಕ್ಕು
628	ಒದರುತದೆ
629	ಸಾವಿರದಲೊಂದು
630	ಕಮ್ಮಿಯಾದರೆ
631	ಕಟ್ಟೆಗೇಕೆ
632	ಸಂಕಟಪಡುವಂಗೆ
633	ಕಾಣೋದಿಲ
634	ಮೀನಿಗೂ
635	ಕೊಟ್ಟದೆ
636	ಗುಳುಮುಳುಕನಿಗೂ
637	ಎಂಡೂ
638	ಬದುಕುತವೆ
639	ಬದುಕೋದ
640	ಸೈಸುತದೆ
641	ಸೈಸಿ
642	ಸಲಹುತದೆ
643	ಹಿಂಗೆ
644	ಇರೋದಿಕೆ
645	ಆಯ್್ತದಾ
646	ಎಣಿಕೆ
647	ಅಪ್ಪ
648	ಸತ್ತಾಗ
649	ಮೂರನೇ
650	ದಿವಸದಿಂದ
651	ಸೈಸಿಕೊಂಡ
652	ಕಳೆದ
653	ಒಗ್ಗಿಕೊಂಡ
654	ಹೆಂಡತಿ
655	ಬೈರಾಗಿಯಂಗೆ
656	ಬೋರೆಯೆಲ
657	ಸುತ್ತಿದ
658	ಗಂಡಹೆಂಡರು
659	ಓಡಾಡಿದ್ದ
660	ತಾಣಕ್ಕೆಲ
661	ಹಂಚಿಕೊಂಡ
662	ವಾರ
663	ಕಳೆದು
664	ಮಾಸ
665	ಮುಗಿದು
666	ವರುಷವೊಪ್ಪತ್ತಿಗೆ
667	ಮಗನಾಗಿ
668	ಬೆಳೆದ
669	ಸಂಬಂಧ
670	ಗಟ್ಟಿ
671	ಮಾಡುತಾ
672	ಇವುನಿ
673	ಕಟ್ಟೆಯಂಗೆ
674	ಗುಂಡಿಗೆ
675	ಕುಲುಮೆ
676	ಮುಸುಕು
677	ಇಳೆಬಾರ
678	ಸೂಯ್ಯನೆ
679	ಬರುತಿತು
680	ಆಚೆಯಿಂದ
681	ಕುರಿಮಂದೆ
682	ಹೈಕಳು
683	ಕುರಿ
684	ಹೊಡಕೊಂಡು
685	ಮೇಲಿನಿಂದ
686	ಬಂದೊ
687	ಕಣ್್ಮಬ್ಬಿನಲಿ
688	ಕುಂತ
689	ಆಕಾರ
690	ಕಂಡು
691	ಬೆದರಿದೊ
692	ದಯ್ಯ
693	ದಿಕ್ಕಾಪಾಲಾಗಿ
694	ಪೇರಿಕೀಳತೊಡಗಿದೊ
695	ಅವರ
696	ಪೈಕಿ
697	ಗೊಣ್ಣೆಮುದ್ದ
698	ವಸಿ
699	ಮುಂದಕೆ
700	ಬಂದು
701	ಯಾರೋ
702	ನರಮನುಷನಂಗೆ
703	ಕಾಣಿಸಿತು
704	ದಿಟ್ಟತನ
705	ಮಾಡಿ
706	ಇನೂ
707	ಸಮೀಪಕೆ
708	ತಿಳಿದೋಯಿತು
709	ಅಯ್ಯೋ
710	ನಿಮ್ಮೌವುಸಾಳಾಗ
711	ಈಟೊತ್್ನಲಿ
712	ಹಿಂಗಾ
713	ಕೂರೋದು
714	ಬುಡು
715	ಅಂದುಕೊಂಡು
716	ಏರಿಕೆಳಗಿಳಿದು
717	ಓಡುತಿದ
718	ದಯ್ಯದ
719	ಜೊತೆಗೇ
720	ಮಾತಾಡುತಿದ
721	ದೂರದಿಂದಲೇ
722	ಏನಪ್ಪ
723	ಚೋಜಿಗಾ
724	ಅವೂ
725	ಇತ್ತ
726	ಕಳ್ಳಹೆಜ್ಜೆ
727	ಇಡುತಾ
728	ಓ
729	ನಮ್ಮೂರ
730	ಕುಂಬಾರ
731	ಅಲ್್ವಾ
732	ಹೇಳಿಕೊಂಡು
733	ಆಟೊತ್ತಿಗಾಗಲೇ
734	ಕಸ್ತೂರಿಮಗ
735	ಎಲೋ
736	ತಪ್ಪಿಸಿಕೊಂಡು
737	ಬುಟನಂತೆ
738	ಸಮಾಚಾರ
739	ಊರಿಂದೂರಿಗೇ
740	ಹಂಡಿಕೊಂಡಿತ್ತು
741	ಏನಾಯಿತು
742	ತಿಳಕೊಳೋದಿಕೆ
743	ಕಾಡುಪಾಲಾಗಿದ್ದ
744	ಯಾರಿಗೂ
745	ಸಿಕಿರನಿಲ
746	ಒಬ್ಬನ
747	ಒಬ್ಬ
748	ಕಂಡಿದ್ದ
749	ಕೇಳಿದ್ದ
750	ಹೂಸಿದ್ದ
751	ಕೆಮ್ಮಿದ್ದ
752	ಎಲನೂ
753	ಉಸುರಿಗೆ
754	ಸುರಿಸಿದೊ
755	ಏನನೂ
756	ಹೇಳದಾದ
757	ನಂಗೇನೂ
758	ಗೊತ್ತಿಲ್ಲ
759	ನನ್ನ
760	ಏನ್ನೂ
761	ಕೇಳ್್ಬ್ಯಾಡಿ
762	ಕಡ್ಡಿ
763	ತುಂಡಾದಂಗೆ
764	ಅಂದು
765	ತಲೆಯ
766	ಮಂಡಿಯೊಳಕೆ
767	ಹುದುಗಿಸಿಕೊಂಡ
768	ಬಸವನಹುಳ
769	ಕತ್ತ
770	ಒಳಗೆ
771	ಎಳಕೊಳುವಂಗೆ
772	ಒಬ್ಬರ
773	ಒಬ್ಬರು
774	ನೋಡಿಕೊಂಡೊ
775	ಪಾಪ
776	ಅಂದುಕೊಂಡೊ
777	ಊರಲ್ಲಿ
778	ನಿನ್ನ
779	ಎಲ್ಲ
780	ಕೇಳ್್ತಾ
781	ಅವರೆ
782	ನಡೀ
783	ಕಸ್ತೂರಣ್ಣ
784	ಅಂದ
785	ತಲೆಎತ್ತಿ
786	ಮುದ್ದನ
787	ಸುತ್ತಲಿನ
788	ಹೈಕಳ
789	ಕತ್ತಲೆ
790	ಮಕದ
791	ಜಾರಿಳಿಯುತಿತು
792	ಹೋಗೋದಿಕೆ
793	ಒಂಚೂರೂ
794	ಮನಸಿರನಿಲ
795	ನಿಮ್್
796	ದಮ್ಮಯ್ಯ
797	ಅಂತೀನಿ
798	ನನ್್ಬಲವಂತ
799	ಮಾಡ್್ಬ್ಯಾಡಿ
800	ನೀವು
801	ನಡೀರಿ
802	ಹಠ
803	ಮಾಡೋನಲ
804	ಎರೆಮಣ್ಣಿಗೆ
805	ಬಂದಾಗೆಲ
806	ಇವನೇ
807	ತಮ್ಮ
808	ನಗಿಸಿ
809	ನಕ್ಕು
810	ಹಕಲೆ
811	ಕಥೆ
812	ಹೇಳಿ
813	ಹೋಗುತಿದ
814	ಅಂಥೋನು
815	ಬರದೆ
816	ಹಠಕ್ಕೆ
817	ಕೂತಂಗೆ
818	ಕುಂತವನೆ
819	ತಾವೆಲ್ಲ
820	ಹೋದಮೇಲೆ
821	ಅನಾಹುತನೇ
822	ಮಾಡಿಕೊಂಡರೂ
823	ಮಾಡಿಕೊಂಡ
824	ಲೆಕ್ಕ
825	ಇವನ
826	ಬ಼ಡಪೆಟ್ಟಿಗೆ
827	ಬುಟು
828	ಹೋಗನಿಲ
829	ಹೈದ
830	ಸುಮ್್ಕೆ
831	ಏಳು
832	ಅಂತು
833	ನಾವು
834	ಇವುನ್ನ
835	ಬುಟ್್ಬಾರ್್ದು
836	ಕಂಡುರ್ಲಾ
837	ಇತರರಿಗೆ
838	ಬಗ್ಗಿ
839	ರಟ್ಟೆ
840	ಹಿಡಕೊಂಡ
841	ಹಿಡಕೊಂಡಿತು
842	ಇನೊಬ್ಬ
843	ಅವಸ್್ಥೇಲಿ
844	ಹೆಂಗೆ
845	ಬುಟೋಗ್್ತೀವಿ
846	ನೀನು
847	ಎದ್್ನಡಿ
848	ಎತ್ತಿದ
849	ಮತ್ತೊಬ
850	ಸೊಂಟ
851	ತಬಿಕೊಂಡ
852	ಕೊಸರಾಡಿ
853	ಬುಡ್್ರಪ್ಪ
