TOKEN_NO	TOKENS
99	ಬೀದಿಗೆ
100	ಬಂದ
101	.
102	ಹೊತ್ತು
103	ಮೋಡದ
104	ಮರೆಯಲಿ
105	ಕಾಣನಿಲ
106	.
107	ಗೂಡ
108	ಬಳಿ
109	ಬಂದ
110	.
111	ಬೆಂಕಿಗಾಗಿ
112	ಕಾಯುತಾ
113	ಗೂಡು
114	ಹಂಗೇ
115	ಕುಂತಿತು
116	.
117	ಚಲುವರಾಯಸೋಮಿ
118	ತನ್ನ
119	ಮನ್ನಿಸಿಯಾನೆ
120	?
121	ಮಗನ
122	ಕೊಟ್ಟ
123	,
124	ತಿರುಗ
125	ಕಿತುಕೊಂಡ
126	.
127	ಏನಿವನಾಟ
128	?
129	ಇನ್ಯಾರ
130	ನೆನೆಯೋದು
131	?
132	ಯಾಕಾಗಿ
133	ಈ
134	ಗೂಡಿಗೆ
135	ಬೆಂಕಿ
136	ಹಾಕ್್ಬೇಕು
137	?
138	ಏನು
139	ಸುಖ
140	ಕಾಣ್್ಬೇಕು
141	?
142	ಅವನು
143	ಬೋರೆ
144	ದಿಕ್ಕಿಗೆ
145	ಮಕ
146	ಮಾಡಿದ
147	.
148	ನಿನ್ನೆಯದು
149	ನೆನಪಾಯಿತು
150	.
151	ಜಡೆ
152	ಮುನಿಗುಡ್ಡ
153	ಅಂದರೆ
154	ಊರೊಳಗೆ
155	ಇವತಿಗೂ
156	ಭಯ
157	ಅದೆ
158	.
159	ಭಕುತಿ
160	ಅದೆ
161	.
162	ಗೌರವ
163	ಅದೆ
164	.
165	ಆದರೆ
166	ತಾನು
167	ಇಳ್ಳೊತ್ತು
168	ಅದರಂಡಿ
169	ಕಂಡದ್ದೇನು
170	?
171	ಅದನು
172	ಊಹಿಸೋದಿಕೆ
173	ಆಗುತ್ತಾ
174	?
175	ತರಗೆಲೆಗೆ
176	,
177	ಹಂಗರಗಡ್ಡಿಗೆ
178	,
179	ಸೌದೆಗೆ
180	,
181	ಮಣ್ಣಿಗೆ
182	,
183	ಮೈನೀರು
184	ಹುಯ್ಯೋದಿಕೆ
185	.
186	ಮಾತಾಡೋಕೆ
187	,
188	ಕೂರೋದಕೆ
189	,
190	ಮಲಗೋದಕೆ
191	,
192	ಹಾಡೋದಕೆ
193	ಒಂದೇ
194	ಎಂಡೇ
195	ಈ
196	ಬೋರೆತಾಯಿಯೇ
197	ದಿಕ್ಕಾಗಿದ್ದಳು
198	-
199	ಇವಳ
200	ಮೇಲೆ
201	ತನಗಿರೋ
202	ಸಂಬಂಧವ
203	ಅಳೆಯೋದಿಕಾಗುತಾ
204	?
205	ಇಂಥ
206	ಅವ್ವನ
207	ಈ
208	ನರಮನುಷರು
209	ಬುಡುತಿಲ
210	.
211	ಇವಳ
212	ಆಸರೆ
213	,
214	ಪಿರೀತಿ
215	ತಾಳುಮೆ
216	,
217	ಶಕುತಿಗಳ
218	ಕಿತುತಿನೊ
219	ಕಿರಾತಕರು
220	ಇವರೆಲ
221	.
222	ಇವಳ
223	ಒಡಲೊಳಗೆ
224	ಭೀತಿಯ
225	ನೆಳ್ಳ
226	ಮೂಡಿಸಿ
227	ನಡೆಸೋ
228	ಕಾರುಭಾರುಗಳ
229	ನೆನೆದರೆ
230	ಜುಂ
231	ಅನುತದೆ
232	.
233	ಅವನಿಗೆ
234	ಜಡೆಮುನಿಗುಡ್ಡದ
235	ಮೇಲಿದ್ದ
236	ಭೀತಿ
237	-
238	ಭ್ರಮೆ
239	ಕರಗಿಹೋಯಿತು
240	.
241	ತನ್ನ
242	ಅವ್ವನ
243	ಅಪಾರ
244	ತಾಳುಮೆಗೆ
245	ತಲೆಯೊಡ್ಡಿ
246	ಹೆಜ್ಜೆ
247	ಹಾಕತೊಡಗಿದ
248	.
249	ಮಳ್ಳಿಯಂಗೆ
250	ಮಲಗಿರೊ
251	ನಿನಗೆ
252	ತಿಳೀದ್ಯಾವುದು
253	?
254	ನೀನೇ
255	ದಿಕ್ಕು
256	ತೋರಬೇಕು
257	ಅಂತ
258	ಮಗದೊಮ್ಮೆ
259	ಕೇಳಿಕೊಂಡು
260	ಅಳ್ಳೆಪಠಯನಗುಡಿ
261	ಮುಂದಾರದಿಂದ
262	ನಡೆದ
263	.
264	ಮಗ
265	ಬದುಕಿದಾನೋ
266	ಸತ್ತನೋ
267	ಒಂದೂ
268	ತಿಳಿಯದು
269	.
270	ಏನೂ
271	ಗೊತ್ತಿಲದ
272	ಮಗನ
273	ಬಗ್ಗೆ
274	ಅವನು
275	ಸತ್ತೋದ
276	ಅಂತ
277	ಊಹಿಸೋದಾಗಲೀ
278	ಎಲೊ
279	ಬದುಕುತಾ
280	ಅವನೆ
281	ಅಂತ
282	ನಚ್ಚೋದಾಗಲೀ
283	-
284	ಏಟು
285	ಹಿಂಸೆ
286	?
287	ಏಟು
288	ಕುದಿ
289	?
290	ಬೋರೆಯ
291	ಬಡಗಲ
292	ದಿಕ್ಕಿಗೆ
293	ತಿರಿಕೊಂಡ
294	.
295	ದೊಡ್ಡಾಲದಮರ
296	ಸಿಕ್ಕಿತು
297	.
298	ಅದರ
299	ಬಿಳಿಲು
300	ನೆಲಕೆ
301	ಕಚಕೊಂಡು
302	ಅದರ
303	ಬುಡವೇ
304	ಕಾಣತಿರನಿಲ
305	.
306	ಅದರ
307	ನಡು
308	ಮಧ್ಯೆ
309	ಒಂದು
310	ದೊಡ್ಡ
311	ಗಂಡುಹುತ್ತ
312	.
313	ಅದು
314	ಎಂಡಾಳಿಗೂ
315	ಮಿಗಿಲಾದ
316	ಎತ್ತರಕೆ
317	ಬೆಳೆದು
318	ಮೂರು
319	ಜನಕೆ
320	ತಬ್ಬೋದಿಕೆ
321	ಆಗದೋಟು
322	ದಪ್ಪಾಗದೆ
323	.
324	ಊರಿಗೆ
325	ಅಮ್ಮ
326	ಕಾಣಿಸಿಕೊಂಡಾಗ
327	ಅವಳ
328	ಕಳಿಸೋದಿಕೆ
329	ಇಲೀಗಂಟಲೂ
330	ಜನ
331	ಬರುತಿದರು
332	.
333	ಅಮ್ಮನ
334	ಅಟ್ಟಿಕೊಂಡು
335	ಜೊತೆಯಲೇ
336	ತರುತಿದ
337	ಮೊರುಕುಕ್ಕೆ
338	,
339	ಬೂದಿ
340	ಸೊಟಗ
341	,
342	ಮೋಟುಹಿಡಗಲು
343	ಎಲವನೂ
344	ನೀಲಿಮಲ್ಲ
345	ಮಂತುರಿಸಿ
346	ಛೂ
347	ಅನುತಿದಂಗೇ
348	ದಡಬಡನೆ
349	ಎಸೆಯುತಿದರು
350	.
351	ದೇವರು
352	ಹೇಳಿದಂಗೆ
353	ಕೇಳಿತಿದ
354	ಅಮ್ಮ
355	ಮೂಡಲ
356	ಬೋರೆ
357	ಕಡೆಗೆ
358	ಹೋಗಿಬುಡುತಿದಳು
359	.
360	ಹಂಗಾಗಿ
361	ಈ
362	ಜಾಗ
363	ಅನ್ವಾಲದ್ದು
364	ಅಂತ
365	ಯಾರೂ
366	ಇತ್ತಲಾಗಿ
367	ತಲೆ
368	ಹಾಕುತಿರನಿಲ
369	.
370	ಈ
371	ಕಡೆಗೆ
372	ಬಂದರೆ
373	ಆಟು
374	ದೂರ
375	ಬಿದ್ದು
376	ಹಾಸಿ
377	ಹೋಗುತಿದರು
378	.
379	ಆದರೆ
380	ಕಸ್ತೂರಿ
381	ಒಂದೊಂದು
382	ಬಿಳಲಿನ
383	ಸಂದಿನಿಂದಲೂ
384	ಮಗನಿಗಾಗಿ
385	ನುಸುಳಿ
386	,
387	ಇಣುಕಿ
388	ನೋಡಿದ
389	.
390	ಮರವ
391	ಮೂರು
392	ಮೂರು
393	ಸಲ
394	ಸುತ್ತು
395	ಹಾಕಿದ
396	.
397	ಏನೂ
398	ಕಾಣಸನಿಲ
399	.
400	ಮುಂದೆ
401	ನಡೆದ
402	.
403	ಹರಿದಾರಿ
404	ಪಾಸಲು
405	ಒತ್ತಟ್ಟಿಗೆ
406	ಬೆಳೆದಿದ
407	ಕುರುಚಲು
408	ಗಿಡಗಳ
409	ಸಂದಿಗೊಂದಿಯನೆಲ
410	ಬಗೆಬಗೆದು
411	ನೋಡಿದ
412	.
413	ಮುತುಗದ
414	ಮರ
415	ಸಿಕ್ಕಿತು
416	.
417	ಅಲ್ಲಿ
418	ಕುಸಿದ
419	.
420	ಈಗ್ಗೆ
421	ಹದಿನೈದು
422	ವರುಷಗಳಿಗೂ
423	ಹಿಂದೆ
424	ತಾನು
425	ತಿಮ್ಮುನ
426	ಜೊತೆಬಂದು
427	ಸೇರುತಿದ
428	ತಾಣ
429	ಇದು
430	.
431	ಅವಳ
432	ಜತೆ
433	ಪರ
434	ಪಂಚಾನೇ
435	ಮರೆತು
436	ಸರಸ
437	ಆಡಿದ್ದು
438	ಇಲ್ಲಿ
439	.
440	ಒಬರಿಗೊಬರು
441	ನಲಿದಾಡಿದ್ದು
442	ಇಲ್ಲಿ
443	.
444	ಅವಳು
445	ಮೊದಲಸಲ
446	ಮಗುಬೇಕು
447	ಅಂತ
448	ಬಾಯಿಬುಟು
449	ಕೇಳಿದ್ದು
450	ಇಲ್ಲಿ
451	.
452	ಕಸ್ತೂರಿಯ
453	ಎದೆಯೊಳಗೆ
454	ಹಿಂಡಿದ
455	ಯಾತನೆ
456	.
457	ಇಂಥ
458	ಕಡೆ
459	ಸಮಾಧಾನ
460	ಸಿಗೋದಿಲ
461	.
462	ಬದಲಾಗಿ
463	ನೆನಪುಗಳು
464	ಜೇನುಹುಳುಗಳಂಗೆ
465	ಮುತ್ತುತವೆ
466	,
467	ಕಚ್ಚುತವೆ
468	,
469	ಬೆಂಕಿಯುಂಡೆಗಳಾಗಿ
470	ಉರುಚುತವೆ
471	.
472	ಕಸ್ತೂರಿ
473	ಎದ್ದು
474	ಸರಸರನೆ
475	ತೆಂಕದಿಕ್ಕಿಗೆ
476	ತಿರುಗಿದ
477	.
478	ಒಂದೊಂದು
479	ಮರದಂಡಿಗೂ
480	ಹೋಗಿ
481	ನೋಡಿ
482	,
483	ಸುತ್ತಿ
484	,
485	ನಡೆದ
486	.
487	ಮಗನ
488	ಬಗ್ಗೆ
489	ಅವನಿಗೇನೂ
490	ಸುಳಿವು
491	ಸಿಗನಿಲ
492	.
493	ಹಿಂಗೇ
494	ಸುತ್ತಿದರೆ
495	ತನಗೆ
496	ಹುಚ್ಚು
497	ಹಿಡಿಯುತ್ತದೆ
498	.
499	ಯಾವುದೋ
500	ಗಾಡಿದಾರಿ
501	ಸಿಕ್ಕಿತು
502	.
503	ಅದ
504	ಅನುಸರಿಸುತಾ
505	ನಡೆದ
506	.
507	ಯಾವುದೋ
508	ಮೋಟಾರು
509	ವಾಹನ
510	ಓಡಾಡಿರೋ
511	ಚಕುರದ
512	ಗುರುತು
513	ಅಚ್ಚಳಿಯದೆ
514	ನಿಂತಿತ್ತು
515	.
516	ಅವನಿಗೆ
517	ಅಚ್ಚರಿಯಾಯಿತು
518	.
519	ತನ್ನ
520	ಅನುಭವದಲಿ
521	ಈ
522	ಬೋರೆಗೆ
523	ಯಾವ
524	ಮೋಟಾರು
525	ವಾಹನವೂ
526	ಬಂದಿದ್ದು
527	ಕಾಣ
528	.
529	ಎತ್ತಿನ
530	ಗಾಡಿಗಳ
531	ಬುಟರೆ
532	ವಾಹನಗಳು
533	ಓಡಾಡುವಂಥ
534	ಹಾದಿಯೇ
535	ಇರನಿಲ
536	.
537	ಮಗ
538	ಏನಾದರು
539	ಇದರೊಂದಿಗೆ
540	ಹೋಗಿ
541	ಬುಟನೇ
542	?
543	ಇಲ್ಲಾ
544	,
545	ಸಿಕ್ಕಿಹಾಕೊಂಡು
546	ಬುಟನೇ
547	?
548	ಕಸ್ತೂರಿ
549	ನಚ್ಚದಾದ
550	.
551	ಸೀತೆಯ
552	ಕಾಣದ
553	ರಾಮ
554	ಒಂದೊಂದು
555	ಗಿಡನೂ
556	ಕೇಳುತಾ
557	,
558	ಒಂದೊಂದು
559	ಮರನೂ
560	ಯಾಚಿಸುತಾ
561	ಸಿಕ್ಕ
562	ಸಿಕ್ಕ
563	ತೊರೆ
564	ಕೆರೆಕುಂಟೆಗಳನೆಲ
565	ವಿಚಾರಿಸುತಾ
566	ನಡೆದಂಗೆ
567	,
568	ಕಸ್ತೂರಿ
569	ನಡೆದ
570	.
571	ನಡೆನಡೆಯುತಾ
572	ಇಳಿಜಾರಿನಲಿ
573	ಬಿದಿದ್ದ
574	ಒಂದು
575	ಪಿಂಡಿ
576	ಕಣ್ಣಿಗೆ
577	ಬಿತ್ತು
578	.
579	ಕೋಳಿಮರಿಗೆ
580	ಬೀಳೊ
581	ಹದ್ದಿನಂಗೆ
582	ಅತ್ತ
583	ಜಿಗಿದ
584	.
585	ದಿಟ
586	,
587	ತರಗೆಲೆ
588	ತುಂಬಿದ್ದ
589	ಕಲ್ಲಿ
590	ಅದು
591	.
592	ತಬ್ಬಲಿಯಂಗೆ
593	ಬಿದ್ದಿತ್ತು
594	.
595	ಒಂದೇ
596	ಉಸಿರಿಗೆ
597	ಅದನು
598	ಉರುಳುರುಳಿಸಿ
599	ನೋಡಿದ
600	.
601	ಅನುಮಾನ
602	ಇಲ್ಲ
603	.
604	ಅದು
605	ತಮ್ಮುದೇ
606	!
607	ಥಟ್ಟನೆ
608	ಕಸ್ತೂರಿಗೆ
609	ಯಾವುದೋ
610	ಬಲ
611	ಬಂದಂಗಾಯಿತು
612	.
613	"
614	"
615	ತಿಮ್ಮಾಜೀ
616	,
617	ಮೊಗಾ
618	,
619	ಲೋಮೊಗಾ
620	"
621	"
622	ಕಿರುಚಿದ
623	.
624	ಇವನು
625	ಕಿರುಚಿದ
626	ರಭಸಕೆ
627	ಬಿಸಿಲಿಗೆ
628	ನರಳುತಾ
629	ಎಲೆಗಳ
630	ಮರೆಯಲಿ
631	ಕುಂತಿದ್ದ
632	ಹಕ್ಕಿ
633	ಪಕುಷಿಗಳೆಲ
634	ರಪರಪನೆ
635	ರಕ್ಕೆ
636	ಬಡಿಯುತಾ
637	ಮೇಲೆ
638	ಹಾರಿದವು
639	.
640	ಬೋರೆ
641	ಅದುರಾಡಿತು
642	.
643	ಆದರೆ
644	ಮಗನ
645	ಉತ್ತರ
646	ಇಲ
647	.
648	ಮಗ
649	ಏನಾದರು
650	ಜಾರಿ
651	ಹೋಗಿಬುಟನೇ
652	ಅಂತ
653	ಇಳಿಜಾರನಲಿ
654	ಒಂದೇ
655	ಸಮಕೆ
656	ಜಾರಿದ
657	.
658	ಸಮತಳ
659	ಸಿಗೋವರೆಗೂ
660	ಹೋದ
661	.
662	ಅಲ್ಲೆಲೂ
663	ಅವನ
664	ಸುಳಿವಿಲ
665	.
666	ಕತೆತ್ತಿ
667	ನೋಡಿದ
668	.
669	ಕಲ್ಲಿ
670	,
671	ಮೇಲು
672	ಭಾಗದಲಿ
673	ಕರಿಚಿಕ್ಕಿಯಂಗೆ
674	ಕಾಣುತಿತು
675	.
676	ತಿರುಗ
677	"
678	"
679	ತಿಮ್ಮಾಜಿ
680	ಮೊಗಾ
681	"
682	"
683	ಅಂತ
684	ಕಿರುಚಿದ
685	.
686	ಕಿರುಚುತಲೇ
687	ಏರಿ
688	ಬಂದ
689	.
690	ಪುನೈಸಿ
691	ಗಾಡಿದಾರಿಗೆ
692	ಬಂದ
693	.
694	ಮಗನ
695	ಗುರುತು
696	,
697	ಅವನುಟ್ಟ
698	ಅರಿವೆ
699	,
700	ಅವನು
701	ಹೆಜ್ಜೆ
702	ಏನಾದರು
703	ಕಂಡಾವೆಯೆ
704	?
705	ಮೋಟಾರುವಾಹನ
706	ನಿಂತು
707	,
708	ಅಲೆಲ
709	ತಿರುಗಾಡಿರೊ
710	ಹೆಜ್ಜೆ
711	ಗುರುತುಗಳು
712	ಮೇಲ್
713	ಮೇಲೆ
714	ಊರಿದ್ದೊ
715	.
716	ಆದರೆ
717	ಅವನು
718	ಕಂಡುಕೊಂಡ
719	-
720	ಅವು
721	ಯಾವೂ
722	ತನ್ನ
723	ಮಗನವಲ
724	!
725	ಕಸ್ತೂರಿಗೆ
726	ತನ್ನ
727	ಮಗ
728	ಸತ್ತಿಲ
729	.
730	ಅನೋ
731	ಸುಳಿವು
732	ಹೆಂಗೋ
733	ಮನಸಿಗೆ
734	ಹೊಳೆಯುತಿತು
735	.
736	ಆದರೆ
737	ಅವನೆಲ್ಲಿ
738	?
739	ಸುಮಾರು
740	ಹೊತ್ತು
741	ಅಲೇ
742	ಕುಂತಿದ್ದ
743	.
744	ಆದರೆ
745	ದುಕ್ಕ
746	ಇಂಗನಿಲ
747	.
748	ಸಂಕಟ
749	ಕಮ್ಮಿಯಾಗನಿಲ
750	.
751	ಬೇರೆ
752	ದಿವಸ
753	ಆಗಿದ್ದರೆ
754	ತರಗೆಲೆ
755	ಕಲ್ಲಿ
756	ಬುಡೋನಲ
757	.
758	ಆದರೆ
759	ಆ
760	ಕಡೆಗೆ
761	ಕಣ್ಣೂ
762	ಹಾಯಿಸದೆ
763	ಅದೇ
764	ಗಾಡಿ
765	ದಾರಿಯಲಿ
766	ಮುಂದೆ
767	ನಡೆದ
768	.
769	ಬೋರೆ
770	ಇಳಿದು
771	ಈಚೆ
772	ಬಂದಾಗ
773	ಅವನಿಗೆ
774	ಮಸಾಣದಲಿ
775	ಹೂತು
776	ಬರಿದಾದ
777	ಹಟ್ಟಿಗೆ
778	ಬಂದಾಗಿನ
779	ಮನಸಾಗಿತ್ತು
780	.
781	ನೇರಕೆ
782	ನಡೆದು
783	ಬಂದ
784	.
785	ಬದ
786	ಹತ್ತಿ
787	ಹೊಲಕ್ಕಿಳಿದು
788	ತಿಟ್ಟ
789	ಏರಿ
790	ಹಡ್ಡಲಿಗೆ
791	ಇಳಿದು
792	ಅಮಟೆಕಟ್ಟೆ
793	ಏರಿಯ
794	ಹತ್ತಿ
795	ಬಂದ
796	.
797	#
798	ಕಟ್ಟೆಏರಿ
799	ಹಾವಿನಂಗೆ
800	ಮಲಗಿತ್ತು
801	.
802	ಏರಿಯುದ್ದಕೂ
803	ಗೊಬ್ಬಳಿಮರ
804	,
805	ಉಣ್ಣಿಮೆಳೆ
806	,
807	ಕಾರೆಗುತ್ತಿ
808	,
809	ಉಗಣಿಹಂಬು
810	,
811	ಹುಣಸೆಮರಗಳು
812	ಬೆಸಗೊಂಡು
813	ಬೆಳೆದಿದ್ದೊ
814	.
815	ಕಸ್ತೂರಿ
816	ಗೊಬ್ಬಳಿ
817	ಮರದ
818	ಬುಡಕೊರಗಿ
819	ಕುಂತುಕೊಂಡ
820	.
821	ಕಟ್ಟೆ
822	ತುಂಬ
823	ನೀರು
824	ತುಂಬಿ
825	ಮದವಾಗಿತ್ತು
826	.
827	ಇದರ
828	ಮೇಲೆ
829	ಇನೊಂದು
830	ನಿಂಗನಕಟ್ಟೆ
831	ಅದೆ
832	.
833	ಅದರಿಂದಾಗಿ
834	ಈ
835	ಕಟ್ಟೆ
836	ಉಳಕೊಂಡದೆ
837	.
838	ಏನಾದರು
839	ಮೇಗಲಿನಿಂದ
840	ಬಂದ
841	ನೀರು
842	ಬಂದಂಗೇ
843	ಬರುವಂಗಿದರೆ
844	ಕಟ್ಟೆ
845	ಕೊಚಿಕೊಂಡು
846	ಹೋಗುತಿತು
847	.
848	ಕಸ್ತೂರಿ
849	ಕಂಡಂಗೆ
850	,
851	ಇದು
852	ಬರೀ
853	ಮಣ್ಣು
854	ತುಂಬಿಕೊಂಡು
855	ಅಮಟೆಗಿಡ
856	ಬೆಳೆದಿರುತಿತು
857	.
858	ಅಮಟೆಕಾಯಿ
859	ತರೋದಿಕೆ
860	ತಾನು
861	ಆಗ
862	ತಪ್ಪದೆ
863	ಬರುತಿದ
864	ಅಮಟೆಕಾಯಿ
865	ಪಜ್ಜಿ
866	ಮಾಡಿಕೊಂಡು
867	ಬಿಸಿಬಿಸಿ
868	ರಾಗಿಮುದ್ದೆ
869	ಉಣ್ಣುತಾ
870	ಇದ್ದರೆ
871	ಅದೇಟು
872	ರುಚಿ
873	!
874	ಯಟ್ಟೆ
875	ಹೊಡೆದಾಗ
876	ಕಟ್ಟೆಕೆಳಗಿನ
877	ಜಮೀನಿನ
878	ಮೋಟಪ್ಪ
879	,
880	ಸದ್ರಪ್ಪ
881	,
882	ಸುಂದ್ರಯ
883	,
884	ಸಾನುಭೋಗರು
885	,
886	ಸತ್ಗಪ್ಪರ
887	ಅಪ್ಪದಿರು
888	ಒಟ್ಟಿಗೆ
889	ಸೇರಿಕೊಂಡು
890	ಇದರ
891	ಹೂಳು
892	ತೆಗೆಸಿದ
893	ಮೇಲೆ
894	ಕಟ್ಟೆ
895	ಭರತಿಯಾಗಿ
896	ತುಂಬಿರುತದೆ
897	;
898	ಇದರ
899	ಹಿಂದಾರದ
900	ಗದ್ದೆಗಳು
901	ವರುಷಕೆ
902	ಎಂಡು
903	ಬೆಳೆ
904	ಕೊಡುತುವೆ
905	.
906	ಕಸ್ತೂರಿ
907	ಕಟ್ಟೆಯ
908	ತುಂಬಿದ
909	ಒಡಲತ್ತ
910	ನೋಡುತಿದ
911	.
912	ತಾನೂ
913	ಇದರ
914	ಹೂಳೆತ್ತಿರೋನೇ
915	.
916	ಇದರ
917	ನೀರು
918	ಕುಡಿದೋನೇ
919	.
920	ನಾಕು
921	ಮೂಲೆಯಿಂದಲೂ
922	ತುಂಬಿರೋ
923	ಗಂಗಮ್ಮತಾಯ
924	ನೋಡುತಾ
925	-
926	ನಿಂಬೆ
927	ಹಣ್ಣಿನಂಗೆ
928	ತುಂಬವಳೆ
929	ಗಂಗಮ್ಮ
930	ಎಂಭತ್ತು
931	ಮೂಲೆ
932	ಚೌಕವ
933	|
934	ಎಂಭತ್ತು
935	ಮೂಲೆ
936	ಚೌಕದ
937	ಏರಿಯ
938	ಮ್ಯಾಲೆ
939	ಶಂಭುಲಿಂಗಯ್ಯನ
940	ಶಿವಪೂಜೆ
941	|
942	|
943	ಪದ
944	ಹಾಡೋವಾಗ
945	ಮೂಡಲ
946	ಬೋರೆ
947	ಮೇಲಿಂದ
948	ಬೀಸಿ
949	ಬಂದ
950	ಗಾಳಿಗೆ
951	ಆಳಾಳುದ್ದ
952	ಎದ್ದ
953	ತೆರೆಗಳ
954	ಹಾವಿನ
955	ನರುತನ
956	ನೋಡಿ
957	ತಾನೂ
958	ವಾಲಾಡಿರೋನೇ
959	.
960	ಈಗ
961	ಗಂಗಮ್ಮತಾಯಿ
962	ನಲಿಯುತಾ
963	ಇಲ
964	ತನ್ನ
965	ಮನಸು
966	ಹಾಡುತಾ
967	ಇಲ
968	ನಿಧಾನಕೆ
969	ಪಿರುಗುಟ್ಟೋ
970	ತೆರೆಗಳ
971	ಬುಟರೆ
972	ಕಟ್ಟೆ
973	ಸದ್ದುಮಾಡದೆ
974	ಮಲಗದೆ
975	ಅಲೊಂದು
976	ಗುಳುಮುಳುಕಕ್ಕಿ
977	ಮೀನು
978	ಕಂಡೊಡನೆಯೇ
979	ಗುಳುಂನೆ
980	ಮುಳುಗುತದೆ
981	ಮತ್ತೆಲೋ
982	ಎದ್ದು
983	ಹಿಡಿದ
984	ಮೀನ
985	ನುಂಗಿ
986	ಕೊಕ್ಕು
987	ಒದರುತದೆ
988	ಸಾವಿರದಲೊಂದು
989	ಮೀನು
990	ಕಮ್ಮಿಯಾದರೆ
991	ಕಟ್ಟೆಗೇಕೆ
992	ಸಂಕಟ
993	?
994	ಅದು
995	ಸಂಕಟಪಡುವಂಗೆ
996	ಕಾಣೋದಿಲ
997	ಅದು
998	ಮೀನಿಗೂ
999	ಆಸರೆ
1000	ಕೊಟ್ಟದೆ
1001	ಗುಳುಮುಳುಕನಿಗೂ
1002	ಆಸರೆ
1003	ಕೊಟ್ಟದೆ
1004	ಎಂಡೂ
1005	ಬದುಕುತವೆ
1006	ಕಟ್ಟೆ
1007	ಅವು
1008	ಬದುಕೋದ
1009	ಸೈಸುತದೆ
1010	ಸೈಸಿ
1011	ಸಲಹುತದೆ
1012	.
1013	ಕಸ್ತೂರಿ
1014	ತನಗೆ
1015	ಹಿಂಗೆ
1016	ಇರೋದಿಕೆ
1017	ಆಯ್್ತದಾ
1018	ಅಂತ
1019	ಎಣಿಕೆ
1020	ಹಾಕಿದ
1021	.
1022	ಅಪ್ಪ
1023	ಸತ್ತಾಗ
1024	ಎಂಡು
1025	ದಿವಸ
1026	ಅತ್ತ
1027	.
1028	ಮೂರನೇ
1029	ದಿವಸದಿಂದ
1030	ಸೈಸಿಕೊಂಡ
1031	.
1032	ನಾಕು
1033	ದಿವಸ
1034	ಕಳೆದ
1035	ಮೇಲೆ
1036	ಒಗ್ಗಿಕೊಂಡ
1037	.
1038	ಹೆಂಡತಿ
1039	ಸತ್ತಾಗ
1040	ಬೈರಾಗಿಯಂಗೆ
1041	ಬೋರೆಯೆಲ
1042	ಸುತ್ತಿದ
1043	.
1044	ಗಂಡಹೆಂಡರು
1045	ಓಡಾಡಿದ್ದ
1046	ತಾಣಕ್ಕೆಲ
1047	ಹೋಗಿ
